timestamp,code,subexperiment,description,version,syllablecount
1317992623850,ET1GC1VB,en2,Spontaneous_Speech,original,234 
1317992623850,ET1GC1VB,en2,Spontaneous_Speech,corrige,234 
1317992935731,ET1AM1MC,en2,Spontaneous_Speech,original,57 
1317992935731,ET1AM1MC,en2,Spontaneous_Speech,corrige,216 
1317996124111,ET1GC2VB,en2,Spontaneous_Speech,original,228 
1317996124111,ET1GC2VB,en2,Spontaneous_Speech,corrige,190 
1317996448303,ET1AM2ED,en2,Spontaneous_Speech,original,49 
1317996448303,ET1AM2ED,en2,Spontaneous_Speech,corrige,132 
1317999190671,ET1GC3MG,en2,Spontaneous_Speech,original,250 
1317999190671,ET1GC3MG,en2,Spontaneous_Speech,corrige,289 
1317999923299,ET1AM3AT,en2,Spontaneous_Speech,original,147 
1317999923299,ET1AM3AT,en2,Spontaneous_Speech,corrige,211 
1318002812939,ET1GC4PN,en2,Spontaneous_Speech,original,26 
1318002812939,ET1GC4PN,en2,Spontaneous_Speech,corrige,29 
1318002829178,ET1GC4PN,en2,Spontaneous_Speech,original,156 
1318002829178,ET1GC4PN,en2,Spontaneous_Speech,corrige,238 
1318007321380,FT1GC5BG,en2,Spontaneous_Speech,original,326 
1318007321380,FT1GC5BG,en2,Spontaneous_Speech,corrige,333 
1318007347748,ET1AM4CW,en2,Spontaneous_Speech,original,166 
1318007347748,ET1AM4CW,en2,Spontaneous_Speech,corrige,255 
1318010475524,ET1GC6CS,en2,Spontaneous_Speech,original,290 
1318010475524,ET1GC6CS,en2,Spontaneous_Speech,corrige,317 
1318011521491,ET1AM5DB,en2,Spontaneous_Speech,original,211 
1318011521491,ET1AM5DB,en2,Spontaneous_Speech,corrige,187 
1318014049260,ET1GC7SO,en2,Spontaneous_Speech,original,237 
1318014049260,ET1GC7SO,en2,Spontaneous_Speech,corrige,264 
1318015139832,ET1AM6CC,en2,Spontaneous_Speech,original,161 
1318015139832,ET1AM6CC,en2,Spontaneous_Speech,corrige,148 
1318016407804,ET1GC7SO,en2,Spontaneous_Speech,original,238 
1318016407804,ET1GC7SO,en2,Spontaneous_Speech,corrige,304 
1318017441708,ET1GC8CC,en2,Spontaneous_Speech,original,213 
1318017441708,ET1GC8CC,en2,Spontaneous_Speech,corrige,242 
1318019486221,ET1AM7JW,en2,Spontaneous_Speech,original,157 
1318019486221,ET1AM7JW,en2,Spontaneous_Speech,corrige,192 
1318020760190,ET1GC9MM,en2,Spontaneous_Speech,original,218 
1318020760190,ET1GC9MM,en2,Spontaneous_Speech,corrige,235 
1318023373882,ET1AM8RB,en2,Spontaneous_Speech,original,72 
1318023373882,ET1AM8RB,en2,Spontaneous_Speech,corrige,163 
1317994895128,ET1AM1MC,en21,Description,original,118 
1317994895128,ET1AM1MC,en21,Description,corrige,204 
1317994922165,ET1GC1VB,en21,Description,original,103 
1317994922165,ET1GC1VB,en21,Description,corrige,124 
1317995178725,ET1AM1MC,en21,Description,original,88 
1317995178725,ET1AM1MC,en21,Description,corrige,110 
1317998069116,ET1GC2VB,en21,Description,original,126 
1317998069116,ET1GC2VB,en21,Description,corrige,124 
1317998896454,ET1AM2ED,en21,Description,original,58 
1317998896454,ET1AM2ED,en21,Description,corrige,75 
1318000948851,ET1GC3MG,en21,Description,original,134 
1318000948851,ET1GC3MG,en21,Description,corrige,120 
1318002078381,ET1AM3AT,en21,Description,original,147 
1318002078381,ET1AM3AT,en21,Description,corrige,170 
1318004624405,ET1GC4PN,en21,Description,original,93 
1318004624405,ET1GC4PN,en21,Description,corrige,102 
1318006225928,ET1GC4PN,en21,Description,original,160 
1318006225928,ET1GC4PN,en21,Description,corrige,181 
1318009224216,FT1GC5BG,en21,Description,original,115 
1318009224216,FT1GC5BG,en21,Description,corrige,116 
1318010005300,ET1AM4CW,en21,Description,original,20 
1318010005300,ET1AM4CW,en21,Description,corrige,26 
1318012193100,ET1GC6CS,en21,Description,original,99 
1318012193100,ET1GC6CS,en21,Description,corrige,105 
1318013661799,ET1AM5DB,en21,Description,original,57 
1318013661799,ET1AM5DB,en21,Description,corrige,54 
1318015724705,ET1GC7SO,en21,Description,original,110 
1318015724705,ET1GC7SO,en21,Description,corrige,107 
1318018223463,ET1AM6CC,en21,Description,original,130 
1318018223463,ET1AM6CC,en21,Description,corrige,98 
1318019136646,ET1GC8CC,en21,Description,original,43 
1318019136646,ET1GC8CC,en21,Description,corrige,49 
1318021968743,ET1AM7JW,en21,Description,original,64 
1318021968743,ET1AM7JW,en21,Description,corrige,73 
1318022259708,ET1GC9MM,en21,Description,original,129 
1318022259708,ET1GC9MM,en21,Description,corrige,119 
1318026043528,ET1AM8RB,en21,Description,original,53 
1318026043528,ET1AM8RB,en21,Description,corrige,41 
